  Freq. (cm^{-1})           IR Inten.        QC-IR Inten.
         741.0843        1.471225E-04        1.926358E-04
         743.1371        1.546155E-04        2.025906E-04
         745.1900        1.510911E-04        1.981132E-04
         747.2429        1.574122E-04        2.065480E-04
         749.2957        1.689708E-04        2.218719E-04
         751.3486        1.669984E-04        2.194375E-04
         753.4015        1.695749E-04        2.229812E-04
         755.4543        1.838948E-04        2.419823E-04
         757.5072        1.857960E-04        2.446573E-04
         759.5601        1.846791E-04        2.433589E-04
         761.6129        1.996119E-04        2.632228E-04
         763.6658        2.072442E-04        2.734809E-04
         765.7187        2.038002E-04        2.691265E-04
         767.7715        2.168474E-04        2.865585E-04
         769.8244        2.310391E-04        3.055286E-04
         771.8773        2.278626E-04        3.015410E-04
         773.9301        2.368470E-04        3.136521E-04
         775.9830        2.570153E-04        3.406012E-04
         778.0359        2.575326E-04        3.415279E-04
         780.0887        2.613499E-04        3.468351E-04
         782.1416        2.854357E-04        3.790668E-04
         784.1944        2.932142E-04        3.896718E-04
         786.2473        2.924638E-04        3.889489E-04
         788.3002        3.172524E-04        4.222131E-04
         790.3530        3.351562E-04        4.463550E-04
         792.4059        3.325300E-04        4.431698E-04
         794.4588        3.544107E-04        4.726637E-04
         796.5116        3.837735E-04        5.121845E-04
         798.5645        3.839966E-04        5.128435E-04
         800.6174        4.000230E-04        5.346238E-04
         802.6702        4.400667E-04        5.885557E-04
         804.7231        4.493938E-04        6.014532E-04
         806.7760        4.585159E-04        6.140939E-04
         808.8288        5.061828E-04        6.784116E-04
         810.8817        5.315041E-04        7.128496E-04
         812.9346        5.360378E-04        7.194358E-04
         814.9874        5.867996E-04        7.881188E-04
         817.0403        6.344126E-04        8.526658E-04
         819.0932        6.405576E-04        8.615297E-04
         821.1460        6.891605E-04        9.275503E-04
         823.1989        7.636045E-04        1.028467E-03
         825.2517        7.826952E-04        1.054920E-03
         827.3046        8.258103E-04        1.113812E-03
         829.3575        9.291323E-04        1.254047E-03
         831.4103        9.777791E-04        1.320631E-03
         833.4632        1.016946E-03        1.374494E-03
         835.5161        1.148863E-03        1.553881E-03
         837.5689        1.249507E-03        1.691190E-03
         839.6218        1.295800E-03        1.755076E-03
         841.6747        1.455797E-03        1.973164E-03
         843.7275        1.638353E-03        2.222151E-03
         845.7804        1.719851E-03        2.334324E-03
         847.8333        1.913016E-03        2.598320E-03
         849.8861        2.220409E-03        3.017942E-03
         851.9390        2.396932E-03        3.260147E-03
         853.9919        2.649020E-03        3.605540E-03
         856.0447        3.154760E-03        4.296896E-03
         858.0976        3.553545E-03        4.843438E-03
         860.1505        3.952186E-03        5.390544E-03
         862.2033        4.817408E-03        6.575245E-03
         864.2562        5.742351E-03        7.843166E-03
         866.3091        6.577275E-03        8.989815E-03
         868.3619        8.270959E-03        1.131263E-02
         870.4148        1.063533E-02        1.455666E-02
         872.4676        1.303083E-02        1.784784E-02
         874.5205        1.748069E-02        2.395934E-02
         876.5734        2.532941E-02        3.474113E-02
         878.6262        3.570844E-02        4.901085E-02
         880.6791        5.645393E-02        7.753861E-02
         882.7320        1.028181E-01        1.413175E-01
         884.7848        1.667392E-01        2.293328E-01
         886.8377        2.046003E-01        2.816028E-01
         888.8906        1.826790E-01        2.516063E-01
         890.9434        1.210315E-01        1.668142E-01
         892.9963        6.686428E-02        9.222125E-02
         895.0492        3.986956E-02        5.502754E-02
         897.1020        2.791119E-02        3.854950E-02
         899.1549        1.938372E-02        2.679040E-02
         901.2078        1.390636E-02        1.923345E-02
         903.2606        1.121046E-02        1.551560E-02
         905.3135        8.875384E-03        1.229232E-02
         907.3664        6.891457E-03        9.551224E-03
         909.4192        5.898109E-03        8.180164E-03
         911.4721        5.054258E-03        7.014678E-03
         913.5249        4.108691E-03        5.706305E-03
         915.5778        3.593935E-03        4.994852E-03
