  Freq. (cm^{-1})           IR Inten.        QC-IR Inten.
         944.3179        2.530787E-03        3.551508E-03
         946.3708        2.851572E-03        4.004435E-03
         948.4237        2.318370E-03        3.257910E-03
         950.4765        1.901591E-03        2.674072E-03
         952.5294        1.849473E-03        2.602575E-03
         954.5822        1.534046E-03        2.160196E-03
         956.6351        1.111769E-03        1.566638E-03
         958.6880        9.822271E-04        1.385049E-03
         960.7408        1.185054E-03        1.672208E-03
         962.7937        1.528578E-03        2.158434E-03
         964.8466        1.690403E-03        2.388583E-03
         966.8994        1.763338E-03        2.493357E-03
         968.9523        2.065686E-03        2.922887E-03
         971.0052        2.353578E-03        3.332537E-03
         973.0580        2.103450E-03        2.980418E-03
         975.1109        1.641638E-03        2.327667E-03
         977.1638        1.585918E-03        2.250207E-03
         979.2166        1.553691E-03        2.205996E-03
         981.2695        1.392224E-03        1.978096E-03
         983.3224        1.530692E-03        2.176327E-03
         985.3752        1.623423E-03        2.309757E-03
         987.4281        1.335210E-03        1.900999E-03
         989.4810        9.641654E-04        1.373668E-03
         991.5338        7.606611E-04        1.084474E-03
         993.5867        7.472628E-04        1.066103E-03
         995.6395        8.490968E-04        1.212218E-03
         997.6924        1.038826E-03        1.484102E-03
         999.7453        1.230495E-03        1.759131E-03
        1001.7981        1.668926E-03        2.387552E-03
        1003.8510        2.510767E-03        3.594342E-03
        1005.9039        3.032332E-03        4.343971E-03
        1007.9567        2.927932E-03        4.197282E-03
        1010.0096        2.522840E-03        3.619044E-03
        1012.0625        2.245492E-03        3.223389E-03
        1014.1153        2.531016E-03        3.635741E-03
        1016.1682        2.660669E-03        3.824597E-03
        1018.2211        2.149018E-03        3.091232E-03
        1020.2739        1.891872E-03        2.723202E-03
        1022.3268        2.386473E-03        3.437486E-03
        1024.3797        3.456339E-03        4.981925E-03
        1026.4325        4.082890E-03        5.889045E-03
        1028.4854        3.362872E-03        4.853822E-03
        1030.5383        2.368537E-03        3.420974E-03
        1032.5911        2.019643E-03        2.919042E-03
        1034.6440        1.894899E-03        2.740613E-03
        1036.6968        1.889133E-03        2.734136E-03
        1038.7497        1.980457E-03        2.868262E-03
        1040.8026        1.915464E-03        2.776023E-03
        1042.8554        2.048257E-03        2.970497E-03
        1044.9083        2.737190E-03        3.972328E-03
        1046.9612        3.194118E-03        4.638597E-03
        1049.0140        2.920921E-03        4.244737E-03
        1051.0669        2.641694E-03        3.841571E-03
        1053.1198        2.469826E-03        3.594080E-03
        1055.1726        2.521517E-03        3.671796E-03
        1057.2255        3.309187E-03        4.822064E-03
        1059.2784        3.658384E-03        5.334526E-03
        1061.3312        2.803135E-03        4.090209E-03
        1063.3841        1.999951E-03        2.920220E-03
        1065.4370        1.767810E-03        2.583012E-03
        1067.4898        1.762595E-03        2.577141E-03
        1069.5427        1.778788E-03        2.602581E-03
        1071.5956        1.471058E-03        2.153795E-03
        1073.6484        9.954405E-04        1.458425E-03
        1075.7013        7.109226E-04        1.042282E-03
        1077.7542        5.772981E-04        8.469491E-04
        1079.8070        5.370599E-04        7.884496E-04
        1081.8599        5.836849E-04        8.574794E-04
        1083.9127        7.348945E-04        1.080349E-03
        1085.9656        9.690625E-04        1.425558E-03
        1088.0185        1.330479E-03        1.958550E-03
        1090.0713        1.679860E-03        2.474534E-03
        1092.1242        1.676098E-03        2.470662E-03
        1094.1771        1.837875E-03        2.710962E-03
        1096.2299        2.357607E-03        3.479943E-03
        1098.2828        2.199566E-03        3.248860E-03
        1100.3357        1.483995E-03        2.193410E-03
        1102.3885        1.101611E-03        1.629329E-03
        1104.4414        9.075989E-04        1.343283E-03
        1106.4943        7.581538E-04        1.122855E-03
        1108.5471        7.833058E-04        1.160889E-03
        1110.6000        9.058770E-04        1.343450E-03
        1112.6529        1.006616E-03        1.493856E-03
        1114.7057        9.763521E-04        1.449920E-03
        1116.7586        1.029999E-03        1.530617E-03
        1118.8115        1.407190E-03        2.092547E-03
        1120.8643        2.022524E-03        3.009598E-03
        1122.9172        2.613655E-03        3.891843E-03
        1124.9700        2.672385E-03        3.981973E-03
        1127.0229        2.116307E-03        3.155513E-03
        1129.0758        1.554352E-03        2.319171E-03
        1131.1286        1.386546E-03        2.070187E-03
        1133.1815        1.561110E-03        2.332388E-03
        1135.2344        1.695372E-03        2.534685E-03
        1137.2872        1.452918E-03        2.173661E-03
        1139.3401        1.148200E-03        1.718936E-03
        1141.3930        1.194860E-03        1.789991E-03
        1143.4458        1.560060E-03        2.338657E-03
        1145.4987        2.059820E-03        3.089910E-03
        1147.5516        2.407276E-03        3.613547E-03
        1149.6044        2.404092E-03        3.611187E-03
        1151.6573        2.098393E-03        3.154110E-03
        1153.7102        1.599586E-03        2.405961E-03
        1155.7630        1.178101E-03        1.773187E-03
        1157.8159        9.998364E-04        1.505885E-03
        1159.8688        9.097171E-04        1.371071E-03
        1161.9216        9.139835E-04        1.378423E-03
        1163.9745        1.127500E-03        1.701576E-03
        1166.0273        1.445415E-03        2.182820E-03
        1168.0802        1.732537E-03        2.618171E-03
        1170.1331        1.941118E-03        2.935335E-03
        1172.1859        2.030209E-03        3.072110E-03
        1174.2388        2.082584E-03        3.153471E-03
        1176.2917        2.359001E-03        3.574410E-03
        1178.3445        2.934647E-03        4.449612E-03
        1180.3974        3.742980E-03        5.679023E-03
        1182.4503        4.653220E-03        7.064794E-03
        1184.5031        4.906586E-03        7.454441E-03
        1186.5560        4.046348E-03        6.151606E-03
        1188.6089        3.142540E-03        4.780746E-03
        1190.6617        3.011485E-03        4.584426E-03
        1192.7146        2.849176E-03        4.340231E-03
        1194.7675        2.188367E-03        3.335824E-03
        1196.8203        1.845618E-03        2.815231E-03
        1198.8732        2.039748E-03        3.113420E-03
